Uniprot ID	kcat	unit	KEGG ID	Substrates	Products	PMID	substrate_IDs	products_IDs	complete
P0ABQ4	5.68	s^(-1)	R00939	Dihydrofolate;H+;NADPH	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	4.93	s^(-1)	R00939	Dihydrofolate;NADPH;H+	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	4.77	s^(-1)	R00939	Dihydrofolate;H+;NADPH	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	10.3	s^(-1)	R00939	H+;Dihydrofolate;NADPH	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	6.73	s^(-1)	R00939	Dihydrofolate;NADPH;H+	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	5.02	s^(-1)	R00939	NADPH;Dihydrofolate;H+	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	4.8	s^(-1)	R00939	Dihydrofolate;H+;NADPH	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	6.67	s^(-1)	R00939	NADPH;H+;Dihydrofolate	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	6.88	s^(-1)	R00939	H+;NADPH;Dihydrofolate	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	7.82	s^(-1)	R00939	NADPH;Dihydrofolate;H+	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	5.72	s^(-1)	R00939	H+;NADPH;Dihydrofolate	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	4.55	s^(-1)	R00939	Dihydrofolate;NADPH;H+	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	8.22	s^(-1)	R00939	H+;Dihydrofolate;NADPH	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	5.85	s^(-1)	R00939	H+;Dihydrofolate;NADPH	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	5.2	s^(-1)	R00939	Dihydrofolate;H+;NADPH	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	7.55	s^(-1)	R00939	H+;NADPH;Dihydrofolate	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	5.8	s^(-1)	R00939	Dihydrofolate;H+;NADPH	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	4.67	s^(-1)	R00939	Dihydrofolate;H+;NADPH	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	4.98	s^(-1)	R00939	H+;NADPH;Dihydrofolate	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	7.38	s^(-1)	R00939	NADPH;Dihydrofolate;H+	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
