rxn_id	kegg_reaction_id	ec_code	substrates	products
MAR03852	R02529	1.4.3.21	C01888;C00001;C00007	C00080;C00027;C00546;C00014
MAR03856	R02527	1.1.1.79	C00080;C00546;C00004	C00937;C00003
MAR03883	R00220	4.3.1.17	C00065	C00080;C00014;C00022
MAR03901	R00367	2.1.1.20	C00037;C00019	C00080;C00021;C00213
MAR03939	R00831	2.3.1.37	C05520;C00010	C00037;C00091
MAR03974	R08698	4.3.1.17	C02218;C00001	C00080;C00014;C00022
MAR04198	R00585	2.6.1.51	C00022;C00065	C00041;C00168
MAR04200	R00590	4.3.1.17	C00065	C02218;C00001
MAR04348	R00996	4.3.1.19	C00188	C00109;C00080;C00014
MAR04466	R01394	5.3.1.22	C00168	C01146
MAR04467	R00585	2.6.1.51	C00022;C00065	C00041;C00168
MAR04582	R00565	2.1.4.1	C00062;C00037	C00581;C00077
MAR04696	R08557	1.1.99.1	C00114;C00003	C00576;C00080;C00004
MAR04697	R02565	1.2.1.8	C00576;C00001;C00003	C00719;C00080;C00004
MAR04698	R02566	1.2.1.8	C00576;C00001;C00006	C00719;C00080;C00005
MAR04699	R02821	2.1.1.5	C00719;C00155	C01026;C00073
MAR04700	R01565	1.5.8.4	C00067;C00080;C00005;C00213	C01026;C00001;C00006
MAR04742	R00830	2.3.1.37	C00037;C00080;C00091	C00430;C00011;C00010
MAR04788	R00369	2.6.1.44	C00041;C00048	C00037;C00022
MAR04789	R00366	1.4.3.3	C00016;C00037;C00001	C01352;C00048;C00080;C00014
MAR04791	R00369	2.6.1.44	C00041;C00048	C00037;C00022
MAR04792	R00945	2.1.2.1	C00143;C00037;C00001	C00065;C00101
MAR05392	R00942	6.3.2.17	C00002;C00025;C00101	C00008;C00080;C00009;MAM02981c
MAR05393	R04242	3.4.19.9	C00001;MAM02981c	C00025;C00101
MAR06409	R01698	1.8.1.4	C00080;C00248;C00004	C00579;C00003
MAR07702	R00465	1.1.1.79	C00048;C00080;C00005	C00160;C00006
MAR07703	R00475	1.1.3.15	C00160;C00007	C00048;C00027
MAR08440	R02565	1.2.1.8	C00576;C00001;C00003	C00719;C00080;C00004
MAR09718	R01771	2.7.1.39	C00002;C00263	C00008;C00080;C01102
MAR09486	R01466	4.2.3.1	C00001;C01102	C00009;C00188
MAR04428	R01167	4.1.1.22	C00080;C00135	C00011;C00388
