rxn,KEGG_rxn_id,ec-code,genes,substrates,products,direction
ETOHt2r,,,,etoh_c(1.0);h_c(1.0),etoh_e(1.0);h_e(1.0),reverse
SUCDi,,,,q8_c(1.0);succ_c(1.0),fum_c(1.0);q8h2_c(1.0),forward
SUCOAS,R00405,6.2.1.5,b0728;b0729,atp_c(1.0);coa_c(1.0);succ_c(1.0),adp_c(1.0);pi_c(1.0);succoa_c(1.0),forward
SUCOAS,R00405,6.2.1.5,b0728;b0729,adp_c(1.0);pi_c(1.0);succoa_c(1.0),atp_c(1.0);coa_c(1.0);succ_c(1.0),reverse
TALA,R01827,2.2.1.2,b0008;b2464,g3p_c(1.0);s7p_c(1.0),e4p_c(1.0);f6p_c(1.0),forward
TALA,R01827,2.2.1.2,b0008;b2464,e4p_c(1.0);f6p_c(1.0),g3p_c(1.0);s7p_c(1.0),reverse
THD2,,1.6.1.1,b3962,h_e(2.0);nadh_c(1.0);nadp_c(1.0),h_c(2.0);nad_c(1.0);nadph_c(1.0),forward
TKT1,,2.2.1.1,b2465;b2935,r5p_c(1.0);xu5p__D_c(1.0),g3p_c(1.0);s7p_c(1.0),forward
TKT1,,2.2.1.1,b2465;b2935,g3p_c(1.0);s7p_c(1.0),r5p_c(1.0);xu5p__D_c(1.0),reverse
TKT2,R01830,2.2.1.1,b2465;b2935,e4p_c(1.0);xu5p__D_c(1.0),f6p_c(1.0);g3p_c(1.0),forward
TKT2,R01830,2.2.1.1,b2465;b2935,f6p_c(1.0);g3p_c(1.0),e4p_c(1.0);xu5p__D_c(1.0),reverse
TPI,R01015,5.3.1.1,b3919,dhap_c(1.0),g3p_c(1.0),forward
TPI,R01015,5.3.1.1,b3919,g3p_c(1.0),dhap_c(1.0),reverse
EX_ac_e,,,,ac_e(1.0),,forward
EX_acald_e,,,,acald_e(1.0),,forward
EX_akg_e,,,,akg_e(1.0),,forward
EX_co2_e,,,,co2_e(1.0),,forward
EX_co2_e,,,,,co2_e(1.0),reverse
EX_etoh_e,,,,etoh_e(1.0),,forward
EX_for_e,,,,for_e(1.0),,forward
EX_fru_e,,,,fru_e(1.0),,forward
EX_fum_e,,,,fum_e(1.0),,forward
EX_glc__D_e,,,,glc__D_e(1.0),,forward
EX_glc__D_e,,,,,glc__D_e(1.0),reverse
EX_gln__L_e,,,,gln__L_e(1.0),,forward
EX_glu__L_e,,,,glu__L_e(1.0),,forward
EX_h_e,,,,h_e(1.0),,forward
EX_h_e,,,,,h_e(1.0),reverse
EX_h2o_e,,,,h2o_e(1.0),,forward
EX_h2o_e,,,,,h2o_e(1.0),reverse
EX_lac__D_e,,,,lac__D_e(1.0),,forward
EX_mal__L_e,,,,mal__L_e(1.0),,forward
EX_nh4_e,,,,nh4_e(1.0),,forward
EX_nh4_e,,,,,nh4_e(1.0),reverse
EX_o2_e,,,,o2_e(1.0),,forward
EX_o2_e,,,,,o2_e(1.0),reverse
EX_pi_e,,,,pi_e(1.0),,forward
EX_pi_e,,,,,pi_e(1.0),reverse
