RxnID	EC_Code	Uniprot	KEGG_Substrate	KEGG_Product
MAR03590	3.1.1.13	P38571	NaN;C00001	C16527;C00187;C00080
MAR03590	3.1.1.13	P19835	NaN;C00001	C16527;C00187;C00080
MAR03591	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03591	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03592	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03592	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03593	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03593	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03594	3.1.1.13	P38571	NaN;C00001	C16525;C00187;C00080
MAR03594	3.1.1.13	P19835	NaN;C00001	C16525;C00187;C00080
MAR03595	3.1.1.13	P38571	NaN;C00001	C16533;C00187;C00080
MAR03595	3.1.1.13	P19835	NaN;C00001	C16533;C00187;C00080
MAR03596	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03596	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03625	2.3.1.26	P35610	C00187;C01832	NaN;C00010
MAR03625	2.3.1.26	O75908	C00187;C01832	NaN;C00010
MAR03626	2.3.1.26	P35610	C00187;NaN	NaN;C00010
MAR03626	2.3.1.26	O75908	C00187;NaN	NaN;C00010
MAR03627	2.3.1.26	P35610	C00187;C02593	NaN;C00010
MAR03627	2.3.1.26	O75908	C00187;C02593	NaN;C00010
MAR03628	2.3.1.26	P35610	NaN;C00187	NaN;C00010
MAR03628	2.3.1.26	O75908	NaN;C00187	NaN;C00010
MAR03629	2.3.1.26	P35610	NaN;C00187	NaN;C00010
MAR03629	2.3.1.26	O75908	NaN;C00187	NaN;C00010
MAR03630	2.3.1.26	P35610	NaN;C00187	NaN;C00010
MAR03630	2.3.1.26	O75908	NaN;C00187	NaN;C00010
MAR03631	2.3.1.26	P35610	C00187;NaN	NaN;C00010
MAR03631	2.3.1.26	O75908	C00187;NaN	NaN;C00010
MAR03632	2.3.1.26	P35610	C00187;C00154	C11251;C00010
MAR03632	2.3.1.26	O75908	C00187;C00154	C11251;C00010
MAR03633	2.3.1.26	P35610	NaN;C00187	NaN;C00010
MAR03633	2.3.1.26	O75908	NaN;C00187	NaN;C00010
MAR03634	2.3.1.26	P35610	C00187;NaN	NaN;C00010
MAR03634	2.3.1.26	O75908	C00187;NaN	NaN;C00010
MAR03635	2.3.1.26	P35610	C00187;NaN	NaN;C00010
MAR03635	2.3.1.26	O75908	C00187;NaN	NaN;C00010
MAR03636	2.3.1.26	P35610	NaN;C00187	NaN;C00010
MAR03636	2.3.1.26	O75908	NaN;C00187	NaN;C00010
MAR03637	2.3.1.26	P35610	NaN;C00187	NaN;C00010
MAR03637	2.3.1.26	O75908	NaN;C00187	NaN;C00010
MAR03638	2.3.1.26	P35610	C00187;C00412	NaN;C00010
MAR03638	2.3.1.26	O75908	C00187;C00412	NaN;C00010
MAR03639	2.3.1.26	P35610	NaN;C00187	NaN;C00010
MAR03639	2.3.1.26	O75908	NaN;C00187	NaN;C00010
MAR03640	2.3.1.26	P35610	C00187;NaN	NaN;C00010
MAR03640	2.3.1.26	O75908	C00187;NaN	NaN;C00010
MAR03641	2.3.1.26	P35610	C00187;C00510	NaN;C00010
MAR03641	2.3.1.26	O75908	C00187;C00510	NaN;C00010
MAR03642	2.3.1.26	P35610	NaN;C00187	NaN;C00010
MAR03642	2.3.1.26	O75908	NaN;C00187	NaN;C00010
MAR03643	2.3.1.26	P35610	NaN;C00187	NaN;C00010
MAR03643	2.3.1.26	O75908	NaN;C00187	NaN;C00010
MAR03644	2.3.1.26	P35610	NaN;C00187	NaN;C00010
MAR03644	2.3.1.26	O75908	NaN;C00187	NaN;C00010
MAR03645	2.3.1.26	P35610	C00187;NaN	NaN;C00010
MAR03645	2.3.1.26	O75908	C00187;NaN	NaN;C00010
MAR03646	2.3.1.26	P35610	C00187;C02041	NaN;C00010
MAR03646	2.3.1.26	O75908	C00187;C02041	NaN;C00010
MAR03647	2.3.1.26	P35610	NaN;C00187	NaN;C00010
MAR03647	2.3.1.26	O75908	NaN;C00187	NaN;C00010
MAR03648	2.3.1.26	P35610	NaN;C00187	NaN;C00010
MAR03648	2.3.1.26	O75908	NaN;C00187	NaN;C00010
MAR03649	2.3.1.26	P35610	NaN;C00187	NaN;C00010
MAR03649	2.3.1.26	O75908	NaN;C00187	NaN;C00010
MAR03650	2.3.1.26	P35610	NaN;C00187	NaN;C00010
MAR03650	2.3.1.26	O75908	NaN;C00187	NaN;C00010
MAR03651	2.3.1.26	P35610	NaN;C00187	NaN;C00010
MAR03651	2.3.1.26	O75908	NaN;C00187	NaN;C00010
MAR03652	2.3.1.26	P35610	C00187;NaN	NaN;C00010
MAR03652	2.3.1.26	O75908	C00187;NaN	NaN;C00010
MAR03653	2.3.1.26	P35610	C00187;C16528	NaN;C00010
MAR03653	2.3.1.26	O75908	C00187;C16528	NaN;C00010
MAR03654	2.3.1.26	P35610	C16531;C00187	NaN;C00010
MAR03654	2.3.1.26	O75908	C16531;C00187	NaN;C00010
MAR03655	2.3.1.26	P35610	NaN;C00187	NaN;C00010
MAR03655	2.3.1.26	O75908	NaN;C00187	NaN;C00010
MAR03656	2.3.1.26	P35610	C00187;NaN	NaN;C00010
MAR03656	2.3.1.26	O75908	C00187;NaN	NaN;C00010
MAR03657	2.3.1.26	P35610	C00187;C16529	NaN;C00010
MAR03657	2.3.1.26	O75908	C00187;C16529	NaN;C00010
MAR03658	2.3.1.26	P35610	C16532;C00187	NaN;C00010
MAR03658	2.3.1.26	O75908	C16532;C00187	NaN;C00010
MAR03659	2.3.1.26	P35610	C00187;NaN	NaN;C00010
MAR03659	2.3.1.26	O75908	C00187;NaN	NaN;C00010
MAR03660	2.3.1.26	P35610	C00187;NaN	NaN;C00010
MAR03660	2.3.1.26	O75908	C00187;NaN	NaN;C00010
MAR03661	2.3.1.26	P35610	C00187;C16162	NaN;C00010
MAR03661	2.3.1.26	O75908	C00187;C16162	NaN;C00010
MAR03662	2.3.1.26	P35610	C16163;C00187	NaN;C00010
MAR03662	2.3.1.26	O75908	C16163;C00187	NaN;C00010
MAR03663	2.3.1.26	P35610	C16164;C00187	NaN;C00010
MAR03663	2.3.1.26	O75908	C16164;C00187	NaN;C00010
MAR03664	2.3.1.26	P35610	C16165;C00187	NaN;C00010
MAR03664	2.3.1.26	O75908	C16165;C00187	NaN;C00010
MAR03665	2.3.1.26	P35610	C16166;C00187	NaN;C00010
MAR03665	2.3.1.26	O75908	C16166;C00187	NaN;C00010
MAR03666	2.3.1.26	P35610	C16167;C00187	NaN;C00010
MAR03666	2.3.1.26	O75908	C16167;C00187	NaN;C00010
MAR03667	2.3.1.26	P35610	C16168;C00187	NaN;C00010
MAR03667	2.3.1.26	O75908	C16168;C00187	NaN;C00010
MAR03668	2.3.1.26	P35610	C16169;C00187	NaN;C00010
MAR03668	2.3.1.26	O75908	C16169;C00187	NaN;C00010
