rxn	KEGG_rxn_id	ec_code	direction	substrates_name	substrates_kegg	products_name	products_kegg	genes_model	kegg_genes	intersection_genes
ACKr	R00315	2.7.2.15	forward	Acetate;ATP C10H12N5O13P3	C00033;C00002	Acetyl phosphate;ADP C10H12N5O10P2	C00227;C00008	b1849	b3115	
ACKr	R00315	2.7.2.15	reverse	Acetyl phosphate;ADP C10H12N5O10P2	C00227;C00008	Acetate;ATP C10H12N5O13P3	C00033;C00002	b1849	b3115	
ACKr	R00315	2.7.2.1	forward	Acetate;ATP C10H12N5O13P3	C00033;C00002	Acetyl phosphate;ADP C10H12N5O10P2	C00227;C00008	b3115	b2296	
ACKr	R00315	2.7.2.1	reverse	Acetyl phosphate;ADP C10H12N5O10P2	C00227;C00008	Acetate;ATP C10H12N5O13P3	C00033;C00002	b3115	b2296	
ACKr	R00315	2.7.2.1	forward	Acetate;ATP C10H12N5O13P3	C00033;C00002	Acetyl phosphate;ADP C10H12N5O10P2	C00227;C00008	b2296	b2296	b2296
ACKr	R00315	2.7.2.1	reverse	Acetyl phosphate;ADP C10H12N5O10P2	C00227;C00008	Acetate;ATP C10H12N5O13P3	C00033;C00002	b2296	b2296	b2296
ACKr	R00315	2.7.2.1	forward	Acetate;ATP C10H12N5O13P3	C00033;C00002	Acetyl phosphate;ADP C10H12N5O10P2	C00227;C00008	b1849	b2296	
ACKr	R00315	2.7.2.1	reverse	Acetyl phosphate;ADP C10H12N5O10P2	C00227;C00008	Acetate;ATP C10H12N5O13P3	C00033;C00002	b1849	b2296	
PPC	R00345	4.1.1.31	forward	CO2 CO2;H2O H2O;Phosphoenolpyruvate	C00011;C00001;C00074	H+;Oxaloacetate;Phosphate	C00080;C00036;C00009	b3956	b3956	b3956
ACONTa	R01325	4.2.1.3	forward	Citrate	C00158	Cis-Aconitate;H2O H2O	C00417;C00001	b0118	b0118;b1276	b0118
